No,Code,Company Name,Listing Date,Shares,Listing Board
109,BBCA,Bank Central Asia Tbk.,31 May 2000,"122,042,299,500",Main
110,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,"21,512,953,877",Development
111,BBKP,Bank KB Bukopin Tbk.,10 Jul 2006,"185,819,884,852",Main
112,BBLD,Buana Finance Tbk.,07 May 1990,"1,645,796,054",Development
113,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Main
114,BBNI,Bank Negara Indonesia (Persero) Tbk.,25 Nov 1996,"18,462,169,893",Main
115,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,10 Nov 2003,"150,043,411,587",Main
116,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,09 Jan 2013,"8,479,490,328",Main
117,BBTN,Bank Tabungan Negara (Persero) Tbk.,17 Dec 2009,"13,894,099,969",Main
118,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"11,918,427,523",Main
119,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Main
120,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Development
121,BCIP,Bumi Citra Permai Tbk.,11 Dec 2009,"1,429,915,525",Development
122,BDMN,Bank Danamon Indonesia Tbk.,06 Dec 1989,"9,675,817,341",Main
123,BEKS,Bank Pembangunan Daerah Banten Tbk.,13 Jul 2001,"51,351,733,883",Watchlist
124,BEST,Bekasi Fajar Industrial Estate Tbk.,10 Apr 2012,"9,647,311,150",Main
125,BFIN,BFI Finance  Indonesia Tbk.,16 May 1990,"15,967,115,620",Main
126,BGTG,Bank Ganesha Tbk.,12 May 2016,"23,731,287,132",Development
127,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,"86,068,156,705",Main
128,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Watchlist
129,BIMA,Primarindo Asia Infrastructure Tbk.,30 Agt 1994,"608,175,716",Watchlist
130,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"6,073,369,498",Main
131,BIPI,Astrindo Nusantara Infrastruktur Tbk.,11 Feb 2010,"63,710,196,917",Development
132,BIPP,Bhuwanatala Indah Permai Tbk.,23 Oct 1995,"5,028,669,376",Watchlist
133,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Main
134,BISI,BISI International Tbk.,28 May 2007,"3,000,000,000",Main
135,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,08 Jul 2010,"10,416,229,249",Main
136,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"8,534,112,229",Development
137,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"92,399,999,996",Main
138,BMSR,Bintang Mitra Semestaraya Tbk.,29 Dec 1999,"1,159,200,024",Main
139,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Main
140,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"3,354,120,000",Main
141,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,"22,084,484,209",Development
142,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,880,290,775",Main
143,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Main
144,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Main
145,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",Watchlist
146,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Development
147,BPII,Batavia Prosperindo Internasional Tbk.,08 Jul 2014,"515,498,662",Development
148,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,056,980",Main
149,BRMS,Bumi Resources Minerals Tbk.,09 Dec 2010,"141,784,040,338",Main
150,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",Development
151,BRPT,Barito Pacific Tbk.,01 Oct 1993,"93,747,218,044",Main
152,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Main
153,BSIM,Bank Sinarmas Tbk.,13 Dec 2010,"19,517,921,842",Main
154,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Development
155,BSWD,Bank Of India Indonesia Tbk.,01 May 2002,"3,651,978,177",Watchlist
156,BTEK,Bumi Teknokultura Unggul Tbk.,14 May 2004,"46,277,496,376",Watchlist
157,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",Watchlist
158,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",Development
159,BTPN,Bank BTPN Tbk.,12 Mar 2008,"8,066,054,461",Main
160,BUDI,Budi Starch & Sweetener Tbk.,08 May 1995,"4,498,997,362",Main
161,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Development
162,BULL,Buana Lintas Lautan Tbk.,23 May 2011,"14,117,801,449",Development
163,BUMI,Bumi Resources Tbk.,30 Jul 1990,"371,320,705,024",Main
164,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"19,384,746,546",Watchlist
165,BVIC,Bank Victoria International Tbk.,30 Jun 1999,"15,689,753,167",Main
166,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",Development
167,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",Development
168,CMNP,Citra Marga Nusaphala Persada Tbk.,10 Jan 1995,"5,436,292,708",Main
169,CMPP,AirAsia Indonesia Tbk.,08 Dec 1994,"10,685,124,441",Watchlist
170,CNKO,Exploitasi Energi Indonesia Tbk.,20 Nov 2001,"8,956,361,206",Watchlist
171,CNTX,Century Textile Industry Tbk.,22 May 1979,"70,000,000",Watchlist
172,COWL,Cowell Development Tbk.,19 Dec 2007,"4,871,214,021",Watchlist
173,CPIN,Charoen Pokphand Indonesia Tbk.,18 Mar 1991,"16,398,000,000",Main
174,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",Development
175,CSAP,Catur Sentosa Adiprana Tbk.,12 Dec 2007,"5,683,175,151",Main
176,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",Watchlist
177,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,535,695,255",Main
178,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",Watchlist
179,DART,Duta Anggada Realty Tbk.,08 May 1990,"3,141,390,962",Main
180,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Watchlist
181,DEWA,Darma Henwa Tbk.,26 Sep 2007,"21,853,733,792",Main
182,DGIK,Nusa Konstruksi Enjiniring Tbk.,19 Dec 2007,"5,541,165,000",Main
183,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",Main
184,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",Development
185,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",Main
186,DMAS,Puradelta Lestari Tbk.,29 May 2015,"48,198,111,100",Main
187,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"16,867,292,274",Main
188,DNET,Indoritel Makmur Internasional Tbk.,11 Dec 2000,"14,184,000,000",Development
189,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,"8,621,173,232",Main
190,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,"331,129,952",Main
191,DSFI,Dharma Samudera Fishing Industries Tbk.,24 Mar 2000,"1,857,135,500",Main
192,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Main
193,DSSA,Dian Swastatika Sentosa Tbk.,10 Dec 2009,"770,552,320",Watchlist
194,DUTI,Duta Pertiwi Tbk.,02 Nov 1994,"1,850,000,000",Development
195,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Main
196,DYAN,Dyandra Media International Tbk.,25 Mar 2013,"4,272,964,279",Main
197,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",Development
198,EKAD,Ekadharma International Tbk.,14 Agt 1990,"3,493,875,000",Main
199,ESSA,Surya Esa Perkasa Tbk.,01 Feb 2012,"17,226,975,700",Main
200,ESTI,Ever Shine Tex Tbk.,13 Oct 1992,"2,015,208,720",Main
